Species,time,WW,BD,Replicate,ID,Ammonium,Phosphate,Nitrite,Nitrate,Vol_incub
aurita,0,91,12,1T1,aurita-1T1,1.21,0.26,0.67,12.81,4
aurita,60,91,12,1T1,aurita-1T1,2.45,0.5,0.67,13.02,3.975
aurita,120,91,12,1T1,aurita-1T1,3.56,0.66,0.67,13.13,3.95
aurita,180,91,12,1T1,aurita-1T1,4.51,0.76,0.67,13.19,3.925
aurita,240,91,12,1T1,aurita-1T1,5.77,0.88,0.68,13.28,3.9
aurita,300,91,12,1T1,aurita-1T1,6.57,1.01,0.68,13.36,3.875
aurita,360,91,12,1T1,aurita-1T1,7.08,1.16,0.68,13.23,3.85
aurita,420,91,12,1T1,aurita-1T1,8.08,1.24,0.68,13.59,3.825
aurita,480,91,12,1T1,aurita-1T1,8.39,1.24,0.69,13.58,3.8
aurita,0,190,17,1T2,aurita-1T2,1.17,0.12,0.68,13.54,4
aurita,60,190,17,1T2,aurita-1T2,2.18,0.24,0.67,14.05,3.975
aurita,120,190,17,1T2,aurita-1T2,2.8,0.34,0.68,13.91,3.95
aurita,180,190,17,1T2,aurita-1T2,3.48,0.42,0.68,14.67,3.925
aurita,240,190,17,1T2,aurita-1T2,4.45,0.52,0.69,14.89,3.9
aurita,300,190,17,1T2,aurita-1T2,5.62,0.62,0.69,15.09,3.875
aurita,360,190,17,1T2,aurita-1T2,6.37,0.7,0.69,15.27,3.85
aurita,420,190,17,1T2,aurita-1T2,6.32,0.75,0.69,15.5,3.825
aurita,480,190,17,1T2,aurita-1T2,6.23,0.75,0.69,15.48,3.8
aurita,0,73,11.5,1T3,aurita-1T3,0.74,0.08,0.67,12.71,4
aurita,60,73,11.5,1T3,aurita-1T3,1.28,0.13,0.67,12.97,3.975
aurita,120,73,11.5,1T3,aurita-1T3,1.96,0.21,0.66,13.1,3.95
aurita,180,73,11.5,1T3,aurita-1T3,2.48,0.28,0.67,13.19,3.925
aurita,240,73,11.5,1T3,aurita-1T3,2.79,0.32,0.67,13.28,3.9
aurita,300,73,11.5,1T3,aurita-1T3,3.53,0.39,0.67,13.35,3.875
aurita,360,73,11.5,1T3,aurita-1T3,4.31,0.44,0.67,13.44,3.85
aurita,420,73,11.5,1T3,aurita-1T3,4.64,0.46,0.68,13.54,3.825
